epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,6676.11,1.49819,1.89946,1.16379,0.00341,0.46356,0.64139,0.53859,0.61522,0.31055,0.60016,0.49749,0.55949,0.22404,1.63483,2.23724,1.37006,0.0137,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6827.27,1.48496,1.87859,1.15338,0.00335,0.45545,0.58088,0.55416,0.55009,0.27229,0.51025,0.49774,0.46183,0.17495,1.68339,2.3894,1.50798,0.01338,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6978.14,1.47233,1.89478,1.14932,0.00338,0.44705,0.58966,0.55459,0.57382,0.27893,0.63186,0.47402,0.5068,0.19895,1.64102,2.31748,1.45818,0.01346,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7128.91,1.47502,1.86961,1.13218,0.00336,0.44915,0.62601,0.54331,0.60533,0.29229,0.57532,0.48953,0.50946,0.19506,1.6906,2.30417,1.42139,0.01407,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7279.69,1.46404,1.86635,1.1163,0.00328,0.42928,0.58984,0.57132,0.58255,0.30461,0.56177,0.54545,0.54098,0.20882,1.65699,2.32687,1.40099,0.01323,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7431.21,1.46603,1.85846,1.12192,0.00335,0.43785,0.59242,0.50557,0.577,0.29457,0.56044,0.47884,0.52177,0.20119,1.64753,2.29964,1.4176,0.01324,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7581.88,1.45432,1.83596,1.09488,0.00332,0.42622,0.62545,0.54191,0.57932,0.2915,0.58406,0.46546,0.50766,0.19879,1.66072,2.36557,1.44581,0.01358,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7733.28,1.44344,1.82731,1.09603,0.00322,0.42839,0.65163,0.56128,0.6209,0.30246,0.59244,0.51102,0.54808,0.2106,1.65531,2.29874,1.38721,0.01338,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7884.01,1.4465,1.82364,1.08447,0.00322,0.41815,0.61771,0.53979,0.58707,0.29948,0.58291,0.50207,0.52858,0.20612,1.64126,2.31281,1.40499,0.01333,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8035.09,1.46039,1.83039,1.07686,0.00327,0.41385,0.61037,0.55133,0.60256,0.29735,0.57849,0.49336,0.51987,0.20137,1.63785,2.27941,1.39556,0.01292,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8186.37,1.4409,1.82008,1.07177,0.00327,0.41358,0.59917,0.54192,0.60104,0.30312,0.6035,0.47495,0.53371,0.20812,1.61363,2.25837,1.3786,0.01291,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8337.67,1.44319,1.82537,1.08601,0.00324,0.424,0.63129,0.5239,0.57258,0.29238,0.60178,0.47718,0.51596,0.20334,1.62794,2.31903,1.40632,0.01322,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8488.24,1.43227,1.80198,1.04898,0.00316,0.40052,0.63411,0.56413,0.59713,0.29533,0.58006,0.52334,0.52977,0.20673,1.63977,2.29252,1.40781,0.01286,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8639.19,1.43006,1.80341,1.05257,0.00319,0.39565,0.61726,0.56375,0.5883,0.29879,0.58819,0.55091,0.54066,0.21102,1.60867,2.25677,1.36365,0.0129,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8790.34,1.43415,1.81256,1.01797,0.00315,0.39766,0.59682,0.57017,0.60952,0.31025,0.65051,0.47315,0.55684,0.21466,1.63292,2.28669,1.32931,0.01281,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8940.99,1.41054,1.7711,1.0072,0.0031,0.38341,0.67339,0.53109,0.61202,0.30172,0.55021,0.51976,0.52189,0.19918,1.64412,2.32321,1.37231,0.01287,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9092.23,1.40357,1.77511,1.00154,0.00315,0.37295,0.71863,0.57368,0.63803,0.31863,0.63155,0.50667,0.54572,0.21049,1.64058,2.3178,1.33508,0.01274,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9243.66,1.41032,1.77103,0.9984,0.00307,0.38017,0.6688,0.55728,0.6241,0.31237,0.62844,0.51002,0.56164,0.21905,1.62892,2.29565,1.34414,0.01301,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9394.87,1.40701,1.76788,0.99251,0.0031,0.37864,0.68694,0.5563,0.63287,0.32871,0.6182,0.53119,0.56406,0.23097,1.61898,2.27306,1.29622,0.01269,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9546.34,1.40272,1.75653,0.97159,0.00306,0.37675,0.65757,0.57249,0.6269,0.32208,0.60693,0.54062,0.57321,0.23003,1.5738,2.23031,1.32647,0.01229,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9697.65,1.40369,1.76225,0.98885,0.00309,0.37625,0.61421,0.58652,0.64118,0.31993,0.54068,0.58736,0.55714,0.21627,1.62342,2.26597,1.32025,0.01286,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9848.62,1.39395,1.7415,0.95511,0.00299,0.37314,0.67295,0.55428,0.63171,0.32509,0.60848,0.52498,0.56523,0.21917,1.62578,2.29196,1.33909,0.01279,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9999.96,1.39268,1.74891,0.9605,0.003,0.37518,0.68637,0.54697,0.62702,0.32809,0.63177,0.52648,0.55824,0.22661,1.60382,2.27009,1.33626,0.01251,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10150.9,1.38134,1.73028,0.94617,0.00301,0.36402,0.64865,0.56821,0.60703,0.30405,0.59934,0.49316,0.5261,0.20211,1.65355,2.32989,1.35135,0.01298,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10301.7,1.38397,1.72126,0.93136,0.003,0.35915,0.63435,0.61047,0.63688,0.33894,0.59546,0.57663,0.56894,0.22649,1.60717,2.24586,1.27218,0.01262,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10452.7,1.37986,1.73353,0.9378,0.00292,0.35303,0.65761,0.59275,0.63765,0.3241,0.61888,0.56434,0.57503,0.22423,1.62304,2.25151,1.30051,0.01241,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10603.6,1.37326,1.7124,0.92026,0.00294,0.35038,0.62445,0.59756,0.62782,0.32286,0.57996,0.55181,0.56273,0.22527,1.62312,2.27615,1.32742,0.01228,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10754.6,1.3697,1.72085,0.90374,0.00293,0.34779,0.62348,0.61019,0.62065,0.32849,0.59563,0.58145,0.56462,0.22705,1.61934,2.25964,1.30928,0.0126,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10905.6,1.36011,1.69223,0.89619,0.00293,0.34609,0.66979,0.59083,0.64105,0.33529,0.61912,0.5454,0.56846,0.23013,1.64066,2.29187,1.29608,0.01245,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11056.7,1.36241,1.6982,0.88204,0.0029,0.32895,0.65323,0.58128,0.63615,0.32083,0.63426,0.54348,0.57703,0.22495,1.63517,2.27847,1.30243,0.01249,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11207.5,1.34884,1.66939,0.8733,0.00284,0.33354,0.68932,0.55616,0.62874,0.32253,0.62984,0.52817,0.57407,0.2251,1.64369,2.28392,1.27569,0.01242,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11358.2,1.34889,1.67253,0.87224,0.00281,0.33447,0.67875,0.57821,0.6362,0.32334,0.63097,0.53789,0.56637,0.22605,1.66068,2.31474,1.30926,0.01242,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11509.2,1.34649,1.66615,0.86409,0.00285,0.33074,0.66733,0.58888,0.64453,0.33541,0.61881,0.55004,0.57901,0.22736,1.64432,2.29861,1.28847,0.01244,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11660.2,1.35133,1.68184,0.8648,0.00279,0.32968,0.68433,0.59527,0.64905,0.32973,0.61381,0.5418,0.56713,0.22694,1.64306,2.3281,1.29996,0.01249,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11811.1,1.3267,1.65735,0.84737,0.0028,0.32122,0.70912,0.58156,0.65613,0.33916,0.65683,0.53905,0.58917,0.23798,1.63113,2.30178,1.29664,0.0125,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11962,1.32507,1.64002,0.83564,0.00274,0.32257,0.69196,0.59182,0.65918,0.34221,0.64607,0.57154,0.59183,0.23645,1.62385,2.28546,1.29928,0.01234,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12113.1,1.32628,1.64921,0.82779,0.00275,0.31184,0.70226,0.57401,0.64204,0.33299,0.67173,0.55101,0.60048,0.2345,1.64202,2.32773,1.30344,0.0124,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12264.2,1.32193,1.64801,0.82548,0.00274,0.30746,0.68494,0.58721,0.64908,0.33904,0.6519,0.56225,0.59519,0.2337,1.64682,2.31713,1.28361,0.01265,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12415.3,1.30959,1.63084,0.81146,0.00268,0.31198,0.6714,0.60133,0.64988,0.34061,0.63196,0.5635,0.58895,0.23756,1.64447,2.32798,1.29307,0.01246,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12566.4,1.30553,1.63619,0.81626,0.00272,0.31596,0.64887,0.57669,0.6315,0.32088,0.60123,0.53802,0.56981,0.22835,1.66594,2.34444,1.30514,0.01267,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12717.9,1.30343,1.62647,0.8116,0.00268,0.30175,0.66748,0.5888,0.62943,0.32705,0.62767,0.56219,0.57506,0.22387,1.67548,2.3454,1.30824,0.01263,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12869,1.29404,1.62178,0.79501,0.00267,0.29914,0.65454,0.60284,0.63847,0.32961,0.60488,0.57971,0.58008,0.22924,1.65947,2.33213,1.29157,0.0124,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,13019.9,1.29303,1.60419,0.77865,0.00265,0.2954,0.69934,0.56602,0.63908,0.33169,0.67012,0.54288,0.59268,0.23329,1.65228,2.34663,1.28986,0.0123,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
